time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20121130T102247,588.81,100,100,589.69,100,100
20121130T102250,588.81,100,100,589.7,100,100
20121130T102259,588.83,100,100,589.72,100,100
20121130T102304,588.81,100,100,589.7,100,100
20121130T102311,588.83,100,100,589.72,100,100
20121130T102312,588.81,100,100,589.7,100,100
20121130T102315,588.82,100,100,589.7,100,100
20121130T102320,588.81,100,100,589.7,100,100
20121130T102342,588.8,200,200,589.69,100,100
20121130T102350,588.8,100,100,589.68,100,100
20121130T102351,588.8,100,100,589.67,100,100
20121130T102410,588.81,100,100,589.74,100,100
20121130T102411,588.81,100,100,589.73,100,100
20121130T102415,588.8,100,100,589.69,100,100
20121130T102416,588.8,100,100,589.68,100,100
20121130T102419,588.8,100,100,589.7,100,100
20121130T102422,588.8,200,200,589.72,100,100
20121130T102425,588.82,100,100,589.72,100,100
20121130T102440,589.,100,100,589.82,100,100
20121130T102443,589.,100,100,589.78,100,100
20121130T102451,589.,100,100,589.79,100,100
20121130T102457,589.,100,100,589.78,100,100
20121130T102500,589.,100,100,589.77,100,100
20121130T102514,589.,100,100,589.74,100,100
20121130T102538,589.,100,100,589.69,200,200
20121130T102539,589.,100,100,589.69,100,100
20121130T102556,589.,100,100,589.59,100,100
20121130T102558,589.,100,100,589.6,100,100
20121130T102601,589.,100,100,589.58,100,100
20121130T102622,589.,100,100,589.57,100,100
20121130T102632,589.,100,100,589.58,100,100
20121130T102635,589.,100,100,589.6,100,100
20121130T102639,589.,100,100,589.59,100,100
20121130T102715,589.,100,100,589.63,100,100
20121130T102732,589.,100,100,589.62,100,100
20121130T102736,589.,100,100,589.63,100,100
20121130T102743,589.,100,100,589.64,100,100
20121130T102758,589.,100,100,589.61,100,100
20121130T102759,589.,100,100,589.64,100,100
20121130T102800,589.,100,100,589.66,100,100
20121130T102807,589.,100,100,589.65,100,100
20121130T102821,589.,100,100,589.62,100,100
20121130T102825,589.,100,100,589.64,100,100
20121130T102827,589.,100,100,589.7,100,100
20121130T102828,589.,100,100,589.64,100,100
20121130T102848,589.,100,100,589.67,100,100
20121130T102851,589.,100,100,589.69,100,100
20121130T102852,589.,100,100,589.7,100,100
20121130T102853,589.,100,100,589.67,100,100
20121130T102901,589.,100,100,589.66,100,100
20121130T102904,589.,100,100,589.61,100,100
20121130T102905,589.,100,100,589.62,100,100
20121130T102906,589.,100,100,589.56,100,100
20121130T103118,589.,100,100,589.6,100,100
20121130T103128,589.,100,100,589.59,100,100
20121130T103130,589.,100,100,589.57,100,100
20121130T103140,589.,100,100,589.55,100,100
20121130T103141,589.,100,100,589.57,100,100
20121130T103149,589.,100,100,589.61,100,100
20121130T103151,589.,100,100,589.59,100,100
20121130T103156,589.,100,100,589.62,100,100
20121130T103157,589.,100,100,589.58,100,100
20121130T103202,589.,100,100,589.59,100,100
20121130T103204,589.,100,100,589.63,100,100
20121130T103217,589.,100,100,589.67,100,100
20121130T103221,589.,100,100,589.63,100,100
20121130T103223,589.,100,100,589.58,100,100
20121130T103227,589.,100,100,589.62,100,100
20121130T103231,589.,100,100,589.66,100,100
20121130T103233,589.,100,100,589.65,100,100
20121130T103235,589.,100,100,589.62,100,100
20121130T103238,589.,100,100,589.61,100,100
20121130T103239,589.,100,100,589.62,100,100
20121130T103244,589.,100,100,589.6,100,100
20121130T103256,589.,100,100,589.62,100,100
20121130T103307,589.,100,100,589.66,100,100
20121130T103309,589.,100,100,589.62,100,100
20121130T103310,589.,100,100,589.64,100,100
20121130T103317,589.,100,100,589.63,100,100
20121130T103323,589.,100,100,589.65,100,100
20121130T103325,589.,100,100,589.62,100,100
20121130T103347,589.,100,100,589.6,100,100
20121130T103348,589.,100,100,589.61,100,100
20121130T103351,589.,100,100,589.63,100,100
20121130T103402,589.,100,100,589.64,100,100
20121130T103403,589.,100,100,589.66,100,100
20121130T103408,589.,100,100,589.64,100,100
20121130T103419,589.,100,100,589.63,100,100
20121130T103443,589.,100,100,589.67,100,100
20121130T103448,589.,100,100,589.66,100,100
20121130T103453,589.,100,100,589.64,100,100
20121130T103505,589.,100,100,589.63,100,100
20121130T103507,589.,100,100,589.61,100,100
20121130T103510,589.,100,100,589.58,100,100
20121130T103512,589.,100,100,589.57,100,100
20121130T103521,589.,100,100,589.59,100,100
20121130T103525,589.,100,100,589.57,100,100
20121130T103534,589.,100,100,589.58,100,100
20121130T103541,589.,100,100,589.54,100,100
20121130T103542,589.,100,100,589.51,100,100
20121130T103543,589.,100,100,589.5,100,100
20121130T103545,589.,100,100,589.54,100,100
20121130T103547,589.,100,100,589.53,100,100
20121130T103549,589.,100,100,589.5,100,100
20121130T103551,589.,100,100,589.52,100,100
20121130T103552,589.,100,100,589.48,100,100
20121130T103553,589.,100,100,589.47,100,100
20121130T103555,589.,100,100,589.7,100,100
20121130T103556,589.,100,100,589.54,100,100
20121130T103559,589.,100,100,589.57,100,100
20121130T103600,589.,100,100,589.56,100,100
20121130T103602,589.,100,100,589.55,100,100
20121130T103606,589.,100,100,589.59,100,100
20121130T103608,589.,100,100,589.58,100,100
20121130T103609,589.,100,100,589.53,100,100
20121130T103623,588.67,100,100,589.53,100,100
20121130T103627,588.7,100,100,589.57,100,100
20121130T103628,588.63,100,100,589.59,100,100
20121130T103629,588.73,100,100,589.6,100,100
20121130T103632,588.72,100,100,589.59,100,100
20121130T103635,588.74,100,100,589.62,100,100
20121130T103638,588.77,100,100,589.64,100,100
20121130T103644,588.78,100,100,589.65,100,100
20121130T103645,588.82,100,100,589.69,100,100
20121130T103646,588.81,100,100,589.68,100,100
20121130T103648,588.8,100,100,589.66,100,100
20121130T103650,588.8,100,100,589.64,100,100
20121130T103712,588.8,100,100,589.6,100,100
20121130T103713,588.8,100,100,589.62,100,100
20121130T103725,588.8,100,100,589.63,100,100
20121130T103729,588.8,100,100,589.62,100,100
20121130T103746,588.8,100,100,589.43,100,100
20121130T103753,588.8,200,200,589.46,100,100
20121130T103756,588.81,100,100,589.46,100,100
20121130T103757,588.81,100,100,589.47,100,100
20121130T103759,588.81,100,100,589.46,100,100
20121130T103804,588.8,200,200,589.46,100,100
20121130T103806,588.8,100,100,589.43,100,100
20121130T103831,588.81,100,100,589.47,100,100
20121130T103839,588.83,100,100,589.49,100,100
20121130T103844,588.84,100,100,589.49,100,100
20121130T103849,589.,400,400,589.49,100,100
20121130T103854,589.,400,400,589.53,100,100
20121130T103858,589.,400,400,589.54,100,100
20121130T103903,589.,400,400,589.53,100,100
20121130T103905,589.,400,400,589.51,100,100
20121130T103907,589.,400,400,589.5,100,100
20121130T103920,589.,400,400,589.47,100,100
20121130T103922,589.,400,400,589.48,100,100
20121130T103939,589.,500,500,589.48,100,100
20121130T103945,589.,500,500,589.47,100,100
20121130T103955,589.,500,500,589.44,100,100
20121130T103956,589.,500,500,589.41,100,100
20121130T103959,589.,500,500,589.43,100,100
20121130T104017,589.,500,500,589.39,100,100
20121130T104020,589.,500,500,589.38,100,100
20121130T104038,589.,500,500,589.34,100,100
20121130T104044,589.,500,500,589.35,100,100
20121130T104050,589.,500,500,589.4,100,100
20121130T104057,589.,500,500,589.39,100,100
20121130T104103,589.,500,500,589.41,100,100
20121130T104109,589.,500,500,589.43,100,100
20121130T104110,589.,500,500,589.47,100,100
20121130T104117,589.,500,500,589.45,100,100
20121130T104119,589.,500,500,589.43,100,100
20121130T104121,589.,500,500,589.45,100,100
20121130T104131,589.,500,500,589.49,100,100
20121130T104132,589.,500,500,589.48,100,100
20121130T104156,589.,500,500,589.5,100,100
20121130T104157,589.,500,500,589.47,100,100
20121130T104159,589.,500,500,589.44,100,100
20121130T104200,589.,500,500,589.48,100,100
20121130T104202,589.,500,500,589.43,100,100
20121130T104204,589.,500,500,589.44,100,100
20121130T104207,589.,500,500,589.43,100,100
20121130T104210,589.,500,500,589.41,100,100
20121130T104213,589.,500,500,589.4,100,100
20121130T104216,589.,500,500,589.39,100,100
20121130T104218,589.,500,500,589.4,100,100
20121130T104220,589.,500,500,589.42,100,100
20121130T104224,589.,500,500,589.4,100,100
20121130T104239,589.,500,500,589.41,100,100
20121130T104248,589.,500,500,589.43,100,100
20121130T104257,589.,500,500,589.38,100,100
20121130T104300,589.,500,500,589.36,100,100
20121130T104307,589.,500,500,589.35,100,100
20121130T104308,589.,500,500,589.37,100,100
20121130T104311,589.,500,500,589.36,100,100
20121130T104313,589.,400,400,589.31,100,100
20121130T104317,589.,300,300,589.31,100,100
20121130T104319,589.,300,300,589.35,100,100
20121130T104320,589.,300,300,589.34,100,100
20121130T104325,589.,300,300,589.28,100,100
20121130T104327,589.,200,200,589.29,100,100
20121130T104331,589.,200,200,589.27,100,100
20121130T104333,589.,200,200,589.26,100,100
20121130T104334,589.,200,200,589.28,100,100
20121130T104340,589.,200,200,589.27,100,100
20121130T104341,589.,200,200,589.75,100,100
20121130T104342,589.,200,200,589.42,100,100
20121130T104345,589.,200,200,589.39,100,100
20121130T104347,589.,200,200,589.36,100,100
20121130T104350,589.,200,200,589.41,100,100
20121130T104353,589.,200,200,589.43,100,100
20121130T104354,589.,200,200,589.42,100,100
20121130T104357,589.,200,200,589.41,100,100
20121130T104359,589.,200,200,589.4,100,100
20121130T104401,589.,200,200,589.42,100,100
20121130T104403,589.,200,200,589.41,100,100
20121130T104404,589.,200,200,589.45,100,100
20121130T104405,589.,200,200,589.41,100,100
20121130T104409,589.,200,200,589.42,100,100
20121130T104410,589.,200,200,589.4,100,100
20121130T104415,589.,200,200,589.41,100,100
20121130T104420,589.,200,200,589.4,100,100
20121130T104430,589.,200,200,589.42,100,100
20121130T104434,589.,200,200,589.4,100,100
20121130T104446,589.,200,200,589.44,100,100
20121130T104509,589.,200,200,589.42,100,100
20121130T104513,589.,200,200,589.43,100,100
20121130T104514,589.,200,200,589.41,100,100
20121130T104533,589.,200,200,589.42,100,100
20121130T104537,589.,200,200,589.4,100,100
20121130T104545,589.,200,200,589.37,100,100
20121130T104548,589.,200,200,589.35,100,100
20121130T104554,589.,200,200,589.37,100,100
